Category	Metric	Value
filtered_out_genes	GENE871	SIGNIFICANCE_FILTER
filtered_out_genes	GENE872	SIGNIFICANCE_FILTER
filtered_out_genes	GENE873	SIGNIFICANCE_FILTER
filtered_out_genes	GENE874	SIGNIFICANCE_FILTER
filtered_out_genes	GENE875	SIGNIFICANCE_FILTER
filtered_out_genes	GENE876	SIGNIFICANCE_FILTER
filtered_out_genes	GENE877	SIGNIFICANCE_FILTER
filtered_out_genes	GENE878	SIGNIFICANCE_FILTER
filtered_out_genes	GENE880	SIGNIFICANCE_FILTER
filtered_out_genes	GENE881	SIGNIFICANCE_FILTER
filtered_out_genes	GENE882	SIGNIFICANCE_FILTER
filtered_out_genes	GENE885	SIGNIFICANCE_FILTER
filtered_out_genes	GENE887	SIGNIFICANCE_FILTER
filtered_out_genes	GENE888	SIGNIFICANCE_FILTER
filtered_out_genes	GENE889	SIGNIFICANCE_FILTER
filtered_out_genes	GENE890	SIGNIFICANCE_FILTER
filtered_out_genes	GENE891	SIGNIFICANCE_FILTER
filtered_out_genes	GENE892	SIGNIFICANCE_FILTER
filtered_out_genes	GENE894	SIGNIFICANCE_FILTER
filtered_out_genes	GENE895	SIGNIFICANCE_FILTER
filtered_out_genes	GENE896	SIGNIFICANCE_FILTER
filtered_out_genes	GENE897	SIGNIFICANCE_FILTER
filtered_out_genes	GENE900	SIGNIFICANCE_FILTER
filtered_out_genes	GENE901	SIGNIFICANCE_FILTER
filtered_out_genes	GENE902	SIGNIFICANCE_FILTER
filtered_out_genes	GENE903	SIGNIFICANCE_FILTER
filtered_out_genes	GENE904	SIGNIFICANCE_FILTER
filtered_out_genes	GENE905	SIGNIFICANCE_FILTER
filtered_out_genes	GENE906	SIGNIFICANCE_FILTER
filtered_out_genes	GENE907	SIGNIFICANCE_FILTER
filtered_out_genes	GENE911	SIGNIFICANCE_FILTER
